rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
40,45,80,50,OFF,50,7,100.0,50000,22158.958288963782,44.31791657792756,29
40,45,80,50,OFF,40,7,100.0,50000,22158.958288963782,44.31791657792756,29
40,45,80,45,OFF,50,7,100.0,50000,21958.69640947747,43.917392818954944,29
40,45,80,45,OFF,40,7,100.0,50000,21958.69640947747,43.917392818954944,29
40,45,80,55,OFF,50,7,100.0,50000,20727.00492432747,41.45400984865494,29
40,45,80,55,OFF,40,7,100.0,50000,20727.00492432747,41.45400984865494,29
40,45,80,40,OFF,40,7,100.0,50000,19933.09672357386,39.86619344714772,29
40,45,80,40,OFF,50,7,100.0,50000,19933.09672357386,39.86619344714772,29
35,40,80,50,OFF,40,7,100.0,33000,16558.793602158577,50.178162430783566,14
35,40,80,50,OFF,50,7,100.0,33000,16558.793602158577,50.178162430783566,14
35,40,80,45,OFF,40,7,100.0,33000,16543.96698467261,50.1332332868867,14
35,40,80,45,OFF,50,7,100.0,33000,16543.96698467261,50.1332332868867,14
40,45,80,50,ON,40,6,100.0,40000,16383.068053448089,40.95767013362022,22
40,45,80,45,ON,40,6,100.0,40000,15999.44118675922,39.99860296689805,22
40,45,80,50,ON,50,6,100.0,39000,15728.130116486747,40.32853876022243,21
40,45,80,45,ON,50,6,100.0,39000,15356.902623675198,39.37667339403897,21
35,40,80,40,OFF,50,7,100.0,33000,15145.74536755552,45.896198083501574,14
35,40,80,40,OFF,40,7,100.0,33000,15145.74536755552,45.896198083501574,14
35,40,80,55,OFF,40,7,100.0,33000,15135.213037668555,45.86428193232896,14
35,40,80,55,OFF,50,7,100.0,33000,15135.213037668555,45.86428193232896,14
40,45,80,55,ON,40,6,100.0,40000,14649.576623570847,36.62394155892712,22
40,45,80,40,ON,40,6,100.0,40000,14341.762933155422,35.854407332888556,22
40,45,80,55,ON,50,6,100.0,39000,14000.028818189192,35.897509790228696,21
35,40,80,45,ON,50,6,100.0,29000,13890.867602966224,47.89954345850422,13
40,45,80,40,ON,50,6,100.0,39000,13734.916930963325,35.21773572041878,21
35,40,80,45,ON,40,6,100.0,28000,13365.133846034041,47.732620878693005,12
35,45,80,45,OFF,50,7,100.0,27000,13268.457086609176,49.14243365410806,12
35,45,80,45,OFF,40,7,100.0,27000,13268.457086609176,49.14243365410806,12
35,45,80,50,OFF,40,7,100.0,27000,13264.756680652998,49.12872844686295,12
35,45,80,50,OFF,50,7,100.0,27000,13264.756680652998,49.12872844686295,12
35,40,80,50,ON,50,7,100.0,29000,12966.613264786847,44.71245953374775,13
35,40,80,40,ON,50,6,100.0,29000,12667.66550343543,43.6816051842601,13
35,40,80,50,ON,40,7,100.0,28000,12420.400399641652,44.358572855863045,12
40,45,75,50,OFF,40,14,100.0,55000,12357.612184364192,22.468385789753075,11
40,45,75,50,OFF,50,14,100.0,55000,12357.612184364192,22.468385789753075,11
35,40,80,40,ON,40,6,100.0,28000,12176.35156981487,43.486969892195965,12
35,45,80,55,OFF,40,7,100.0,27000,12128.860476446138,44.921705468319026,12
35,45,80,55,OFF,50,7,100.0,27000,12128.860476446138,44.921705468319026,12
35,45,80,40,OFF,50,7,100.0,27000,12024.793903436359,44.536273716430955,12
35,45,80,40,OFF,40,7,100.0,27000,12024.793903436359,44.536273716430955,12
35,40,80,55,ON,50,7,100.0,29000,11519.863020176086,39.723665586814086,13
40,45,75,45,OFF,50,14,100.0,55000,11481.186265088514,20.874884118342756,11
40,45,75,45,OFF,40,14,100.0,55000,11481.186265088514,20.874884118342756,11
40,45,75,55,OFF,50,14,100.0,55000,10996.12830702236,19.99296055822247,11
40,45,75,55,OFF,40,14,100.0,55000,10996.12830702236,19.99296055822247,11
35,40,80,55,ON,40,7,100.0,28000,10973.860168853644,39.19235774590587,12
40,45,75,50,ON,40,11,100.0,43000,10642.599961613958,24.75023246886967,9
40,45,75,40,OFF,50,12,100.0,50000,10471.955660204081,20.943911320408162,13
40,45,75,40,OFF,40,12,100.0,50000,10471.955660204081,20.943911320408162,13
35,45,80,50,ON,40,6,100.0,23000,10285.539858819011,44.719738516604394,10
35,45,80,50,ON,50,6,100.0,23000,10203.725355124716,44.364023283150935,10
35,45,80,45,ON,40,6,100.0,23000,10137.60542157085,44.076545311177604,10
35,45,80,45,ON,50,6,100.0,23000,10057.610249406407,43.728740214810465,10
40,45,70,50,OFF,50,20,100.0,55000,9875.880827107067,17.956146958376486,8
40,45,70,50,OFF,40,20,100.0,55000,9875.880827107067,17.956146958376486,8
40,45,75,45,ON,40,11,100.0,43000,9783.080925781249,22.75135099018895,9
40,45,70,45,OFF,40,20,100.0,55000,9660.910059060001,17.565291016472727,8
40,45,70,45,OFF,50,20,100.0,55000,9660.910059060001,17.565291016472727,8
40,45,75,45,ON,50,11,100.0,42000,9542.960929606794,22.72133554668284,8
35,40,75,50,OFF,40,13,100.0,37000,9243.88917875667,24.98348426690992,6
35,40,75,50,OFF,50,13,100.0,37000,9243.88917875667,24.98348426690992,6
40,45,75,50,ON,50,12,100.0,42000,9111.323859358832,21.69362823656865,8
