rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,ma_long,trades,win_rate,invested,profit,return_pct,avg_return,max_water
40,45,75,50,OFF,50,200,11,100.0,52000,9442.027388086293,18.157744977089024,17.350463182852483,13
40,45,75,50,OFF,40,200,11,100.0,52000,9442.027388086293,18.157744977089024,17.350463182852483,13
40,45,75,45,OFF,40,200,11,100.0,52000,9439.142698015577,18.152197496183803,18.295117281589885,13
40,45,75,45,OFF,50,200,11,100.0,52000,9439.142698015577,18.152197496183803,18.295117281589885,13
40,45,75,40,OFF,40,200,11,100.0,52000,9221.480632797342,17.73361660153335,17.73368902798718,13
40,45,75,40,OFF,50,200,11,100.0,52000,9221.480632797342,17.73361660153335,17.73368902798718,13
40,45,75,55,OFF,40,200,11,100.0,52000,8981.436415033515,17.271993105833683,15.539600720482087,13
40,45,75,55,OFF,50,200,11,100.0,52000,8981.436415033515,17.271993105833683,15.539600720482087,13
35,40,75,50,OFF,50,200,10,100.0,40000,8302.589859814558,20.756474649536393,19.231984430365202,10
35,40,75,50,OFF,40,200,10,100.0,40000,8302.589859814558,20.756474649536393,19.231984430365202,10
35,40,75,45,OFF,40,200,10,100.0,40000,8219.797750829513,20.549494377073785,19.851639243083234,10
35,40,75,45,OFF,50,200,10,100.0,40000,8219.797750829513,20.549494377073785,19.851639243083234,10
35,40,75,40,OFF,40,200,10,100.0,40000,8082.122822750579,20.20530705687645,19.231434303712454,10
35,40,75,40,OFF,50,200,10,100.0,40000,8082.122822750579,20.20530705687645,19.231434303712454,10
35,40,75,55,OFF,40,200,10,100.0,40000,7708.933373112223,19.27233343278056,17.1385758222412,10
35,40,75,55,OFF,50,200,10,100.0,40000,7708.933373112223,19.27233343278056,17.1385758222412,10
40,45,70,45,OFF,40,200,16,100.0,52000,7529.536021880669,14.479876965155134,14.198067229109405,13
40,45,70,45,OFF,50,200,16,100.0,52000,7529.536021880669,14.479876965155134,14.198067229109405,13
40,45,70,40,OFF,40,200,16,100.0,52000,7329.106599753115,14.09443576875599,13.958702835356787,13
40,45,70,40,OFF,50,200,16,100.0,52000,7329.106599753115,14.09443576875599,13.958702835356787,13
40,45,70,50,OFF,50,200,16,100.0,52000,7195.52271092377,13.837543674853404,12.82110005359618,13
40,45,70,50,OFF,40,200,16,100.0,52000,7195.52271092377,13.837543674853404,12.82110005359618,13
35,40,70,45,OFF,40,200,14,100.0,40000,6819.825403722026,17.049563509305067,15.329846168392724,10
35,40,70,45,OFF,50,200,14,100.0,40000,6819.825403722026,17.049563509305067,15.329846168392724,10
35,45,75,50,OFF,50,200,10,100.0,36000,6733.263757417941,18.703510437272058,17.763071625709948,9
35,45,75,50,OFF,40,200,10,100.0,36000,6733.263757417941,18.703510437272058,17.763071625709948,9
35,45,75,45,OFF,50,200,10,100.0,36000,6714.211235086025,18.650586764127848,18.370333536060095,9
35,45,75,45,OFF,40,200,10,100.0,36000,6714.211235086025,18.650586764127848,18.370333536060095,9
35,40,70,50,OFF,50,200,14,100.0,40000,6714.178821449494,16.785447053623734,14.537047683910354,10
35,40,70,50,OFF,40,200,14,100.0,40000,6714.178821449494,16.785447053623734,14.537047683910354,10
40,45,65,40,OFF,50,200,18,100.0,52000,6709.265032461774,12.90243275473418,12.314556302879309,13
40,45,65,40,OFF,40,200,18,100.0,52000,6709.265032461774,12.90243275473418,12.314556302879309,13
35,40,70,40,OFF,40,200,14,100.0,40000,6657.352107061771,16.643380267654425,15.2665706206286,10
35,40,70,40,OFF,50,200,14,100.0,40000,6657.352107061771,16.643380267654425,15.2665706206286,10
35,45,75,40,OFF,40,200,10,100.0,36000,6528.917625305201,18.135882292514445,17.753435756738206,9
35,45,75,40,OFF,50,200,10,100.0,36000,6528.917625305201,18.135882292514445,17.753435756738206,9
40,45,65,45,OFF,40,200,20,100.0,52000,6438.072357826732,12.380908380436022,10.605988704106398,13
40,45,65,45,OFF,50,200,20,100.0,52000,6438.072357826732,12.380908380436022,10.605988704106398,13
40,45,70,55,OFF,40,200,16,100.0,52000,6408.002256275197,12.323081262067687,10.848480953205556,13
40,45,70,55,OFF,50,200,16,100.0,52000,6408.002256275197,12.323081262067687,10.848480953205556,13
40,45,75,45,ON,50,200,11,100.0,41000,6350.339369016561,15.488632607357466,16.13937134850557,8
35,45,75,55,OFF,50,200,10,100.0,36000,6329.982443483714,17.58328456523254,15.702397442649533,9
35,45,75,55,OFF,40,200,10,100.0,36000,6329.982443483714,17.58328456523254,15.702397442649533,9
40,45,65,50,OFF,50,200,20,100.0,52000,6257.727548007791,12.03409143847652,10.119136830949426,13
40,45,65,50,OFF,40,200,20,100.0,52000,6257.727548007791,12.03409143847652,10.119136830949426,13
40,45,75,50,ON,50,200,11,100.0,41000,6232.717097659763,15.201749018682348,15.180363862195774,8
35,40,65,45,OFF,40,200,18,100.0,40000,6030.292383049211,15.075730957623026,11.895580829576963,10
35,40,65,45,OFF,50,200,18,100.0,40000,6030.292383049211,15.075730957623026,11.895580829576963,10
40,45,75,40,ON,50,200,11,100.0,41000,6026.934246407278,14.699839625383603,15.558604670911603,8
40,45,75,45,ON,40,200,11,100.0,38000,5922.996415142043,15.586832671426428,16.07486521770667,7
35,40,70,55,OFF,40,200,14,100.0,40000,5890.952430090983,14.727381075227457,12.411502667209081,10
35,40,70,55,OFF,50,200,14,100.0,40000,5890.952430090983,14.727381075227457,12.411502667209081,10
35,40,65,40,OFF,50,200,18,100.0,40000,5802.141414782726,14.505353536956816,11.716343713493115,10
35,40,65,40,OFF,40,200,18,100.0,40000,5802.141414782726,14.505353536956816,11.716343713493115,10
40,45,75,50,ON,40,200,11,100.0,38000,5778.8686911653695,15.207549187277289,15.11822346540136,7
40,45,75,55,ON,50,200,11,100.0,41000,5758.755296429876,14.045744625438722,13.370215935884538,8
40,45,75,40,ON,40,200,11,100.0,38000,5631.229476957098,14.819024939360784,15.495377285083611,7
35,45,70,45,OFF,40,200,14,100.0,36000,5564.271659149135,15.456310164303153,14.132853660919608,9
35,45,70,45,OFF,50,200,14,100.0,36000,5564.271659149135,15.456310164303153,14.132853660919608,9
35,45,70,40,OFF,40,200,14,100.0,36000,5429.133722286924,15.080927006352567,14.07846647786444,9
35,45,70,40,OFF,50,200,14,100.0,36000,5429.133722286924,15.080927006352567,14.07846647786444,9
40,45,65,55,OFF,50,200,20,100.0,52000,5399.047797149641,10.382784225287772,8.129545780359901,13
40,45,65,55,OFF,40,200,20,100.0,52000,5399.047797149641,10.382784225287772,8.129545780359901,13
35,45,70,50,OFF,40,200,14,100.0,36000,5392.151032564713,14.97819731267976,13.351268886947903,9
35,45,70,50,OFF,50,200,14,100.0,36000,5392.151032564713,14.97819731267976,13.351268886947903,9
40,45,75,55,ON,40,200,11,100.0,38000,5297.9814083540405,13.942056337773788,13.3078305932769,7
35,40,75,45,ON,50,200,10,100.0,30000,5251.610495381211,17.50536831793737,17.50623870318126,8
35,40,75,50,ON,50,200,10,100.0,30000,5211.495079054416,17.37165026351472,16.861488075952206,8
40,45,70,45,ON,50,200,14,100.0,41000,5156.933790052556,12.577887292811113,13.839875350922485,6
40,45,70,40,ON,50,200,14,100.0,41000,5098.512654465539,12.435396718208631,13.670833632899171,6
35,40,75,40,ON,50,200,10,100.0,30000,5054.655341904528,16.84885113968176,16.841126421275916,8
35,40,75,45,ON,40,200,10,100.0,28000,4893.819086412872,17.4779253086174,17.170324654069294,7
35,40,75,50,ON,40,200,10,100.0,28000,4798.5774916620785,17.13777675593599,16.535191134189862,7
35,45,65,45,OFF,50,200,18,100.0,36000,4779.395547239148,13.276098742330966,10.87213339069832,9
35,45,65,45,OFF,40,200,18,100.0,36000,4779.395547239148,13.276098742330966,10.87213339069832,9
35,45,70,55,OFF,40,200,14,100.0,36000,4743.469289105938,13.176303580849828,11.249388107681238,9
35,45,70,55,OFF,50,200,14,100.0,36000,4743.469289105938,13.176303580849828,11.249388107681238,9
40,45,70,45,ON,40,200,14,100.0,38000,4729.5908361780375,12.44629167415273,13.492031846603506,5
40,45,70,50,ON,50,200,14,100.0,41000,4725.408864188093,11.525387473629495,12.22323857286746,6
35,40,75,40,ON,40,200,10,100.0,28000,4715.088584732152,16.839602088329116,16.508833889482656,7
40,45,70,40,ON,40,200,14,100.0,38000,4702.807885015356,12.375810223724622,13.326733304600541,5
35,40,70,40,ON,50,200,12,100.0,30000,4695.991456053965,15.653304853513214,15.619615074480764,5
