rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
40,45,80,45,OFF,50,5,100.0,55000,50247.60688574653,91.35928524681188,18
40,45,80,45,OFF,40,5,100.0,55000,50247.60688574653,91.35928524681188,18
40,45,80,50,OFF,40,5,100.0,55000,49513.53360634834,90.02460655699699,18
40,45,80,50,OFF,50,5,100.0,55000,49513.53360634834,90.02460655699699,18
40,45,80,55,OFF,50,5,100.0,55000,48985.417308485965,89.06439510633813,18
40,45,80,55,OFF,40,5,100.0,55000,48985.417308485965,89.06439510633813,18
40,45,80,40,OFF,40,5,100.0,55000,46649.89675511156,84.81799410020284,18
40,45,80,40,OFF,50,5,100.0,55000,46649.89675511156,84.81799410020284,18
40,45,80,45,ON,50,5,100.0,39000,29587.28736254479,75.86483939114049,15
40,45,80,50,ON,50,5,100.0,39000,28976.208745114018,74.297971141318,15
40,45,80,45,ON,40,5,100.0,38000,28742.55194592112,75.63829459452927,15
40,45,80,55,ON,50,5,100.0,39000,28561.929971793215,73.23571787639285,15
35,40,80,45,OFF,50,5,100.0,29000,28456.656525765822,98.12640181298559,11
35,40,80,45,OFF,40,5,100.0,29000,28456.656525765822,98.12640181298559,11
40,45,80,50,ON,40,5,100.0,38000,28132.35938045231,74.03252468540083,15
35,40,80,50,OFF,50,5,100.0,29000,28069.74492599856,96.79222388275365,11
35,40,80,50,OFF,40,5,100.0,29000,28069.74492599856,96.79222388275365,11
35,40,80,55,OFF,50,5,100.0,29000,27882.082756013584,96.14511295177098,11
35,40,80,55,OFF,40,5,100.0,29000,27882.082756013584,96.14511295177098,11
40,45,80,55,ON,40,5,100.0,38000,27701.624517995486,72.8990118894618,15
40,45,80,40,ON,50,5,100.0,39000,27069.847834149412,69.40986624140875,15
35,40,80,40,OFF,40,5,100.0,29000,26542.420645660168,91.52558843331093,11
35,40,80,40,OFF,50,5,100.0,29000,26542.420645660168,91.52558843331093,11
40,45,80,40,ON,40,5,100.0,38000,26267.78707653233,69.12575546455876,15
35,45,80,45,OFF,50,5,100.0,25000,23114.36124175165,92.4574449670066,10
35,45,80,45,OFF,40,5,100.0,25000,23114.36124175165,92.4574449670066,10
35,45,80,50,OFF,50,5,100.0,25000,22922.360519360445,91.68944207744178,10
35,45,80,50,OFF,40,5,100.0,25000,22922.360519360445,91.68944207744178,10
35,45,80,55,OFF,40,5,100.0,25000,22724.11280566305,90.8964512226522,10
35,45,80,55,OFF,50,5,100.0,25000,22724.11280566305,90.8964512226522,10
35,45,80,40,OFF,50,5,100.0,25000,21588.46634038882,86.35386536155526,10
35,45,80,40,OFF,40,5,100.0,25000,21588.46634038882,86.35386536155526,10
